sl_points,tp_points,vbtpro_total_profit,order_count,vbtpro_total_return_pct,fitness_name,fitness_score
250,375,15.42,726,0.01542,maximize_vbtpro_total_profit,15.42
50,400,13.8,828,0.0138,maximize_vbtpro_total_profit,13.8
50,350,13.3,830,0.0133,maximize_vbtpro_total_profit,13.3
100,350,13.15,807,0.01315,maximize_vbtpro_total_profit,13.15
275,375,10.75,718,0.01075,maximize_vbtpro_total_profit,10.75
50,375,10.3,828,0.0103,maximize_vbtpro_total_profit,10.3
100,400,9.24,801,0.00924,maximize_vbtpro_total_profit,9.24
250,400,7.48,721,0.00748,maximize_vbtpro_total_profit,7.48
100,375,7.31,802,0.00731,maximize_vbtpro_total_profit,7.31
50,200,6.95,839,0.00695,maximize_vbtpro_total_profit,6.95
200,375,6.0,755,0.006,maximize_vbtpro_total_profit,6.0
275,400,3.06,713,0.00306,maximize_vbtpro_total_profit,3.06
250,350,1.29,731,0.00129,maximize_vbtpro_total_profit,1.29
200,350,1.28,762,0.00128,maximize_vbtpro_total_profit,1.28
200,400,0.13,753,0.00013,maximize_vbtpro_total_profit,0.13
100,200,-0.38,821,-0.00038,maximize_vbtpro_total_profit,-0.38
275,350,-4.38,723,-0.00438,maximize_vbtpro_total_profit,-4.38
300,375,-15.41,706,-0.01541,maximize_vbtpro_total_profit,-15.41
300,400,-17.1,701,-0.0171,maximize_vbtpro_total_profit,-17.1
300,350,-30.29,711,-0.03029,maximize_vbtpro_total_profit,-30.29
250,200,-35.71,764,-0.03571,maximize_vbtpro_total_profit,-35.71
275,200,-37.93,757,-0.03793,maximize_vbtpro_total_profit,-37.93
200,200,-38.39,788,-0.03839,maximize_vbtpro_total_profit,-38.39
250,50,-40.0,810,-0.04,maximize_vbtpro_total_profit,-40.0
300,50,-41.42,807,-0.04142,maximize_vbtpro_total_profit,-41.42
275,50,-42.92,807,-0.04292,maximize_vbtpro_total_profit,-42.92
200,50,-45.35,822,-0.04535,maximize_vbtpro_total_profit,-45.35
300,200,-45.58,748,-0.04558,maximize_vbtpro_total_profit,-45.58
300,25,-46.46,823,-0.04646,maximize_vbtpro_total_profit,-46.46
275,25,-48.21,823,-0.04821,maximize_vbtpro_total_profit,-48.21
250,25,-49.16,823,-0.04916,maximize_vbtpro_total_profit,-49.16
200,25,-55.0,827,-0.055,maximize_vbtpro_total_profit,-55.0
50,50,-64.07,838,-0.06407,maximize_vbtpro_total_profit,-64.07
100,50,-69.5,837,-0.0695,maximize_vbtpro_total_profit,-69.5
50,25,-94.75,839,-0.09475,maximize_vbtpro_total_profit,-94.75
100,25,-96.93,840,-0.09693,maximize_vbtpro_total_profit,-96.93
